step	dice_multi
0	0.495471082233181
1	0.495471082233181
2	0.8780784526319689
3	0.861034709148508
4	0.8809528109768564
5	0.8982584520455315
6	0.8930242113868507
7	0.8929935412789672
8	0.899240288613029
