step	loss
0	0.28253915905952454
1	0.08393541723489761
2	0.06285345554351807
3	0.05044523999094963
4	0.04314817488193512
5	0.038149796426296234
6	0.03466568514704704
7	0.03181309998035431
8	0.02950512431561947
